key	lang	from-state	applied
uni.grad.compose	hi	absent	yes
uni.grad.compose	bn	absent	yes
uni.grad.compose	fa	absent	yes
uni.grad.compose	ur	absent	yes
uni.grad.compose	ja	absent	yes
uni.grad.compose	da	absent	yes
uni.grad.compose	nb	absent	yes
uni.grad.compose	sv	absent	yes
uni.grad.compose	fi	absent	yes
uni.grad.compose	tr	absent	yes
uni.grad.compose	hu	absent	yes
uni.grad.compose	sa	absent	yes
uni.grad.law	en	absent	yes
uni.grad.law	ru	absent	yes
uni.grad.law	lv	absent	yes
uni.grad.law	th	absent	yes
uni.grad.law	gd	absent	yes
uni.grad.law	tt	absent	yes
uni.grad.law	uk	absent	yes
uni.grad.law	cs	absent	yes
uni.grad.law	zh	absent	yes
uni.grad.law	ko	absent	yes
uni.grad.law	ar	absent	yes
uni.grad.law	nl-be	absent	yes
uni.grad.law	es	absent	yes
uni.grad.law	nl	absent	yes
uni.grad.law	de	absent	yes
uni.grad.law	fr	absent	yes
uni.grad.law	he	absent	yes
uni.grad.law	hi	absent	yes
uni.grad.law	bn	absent	yes
uni.grad.law	fa	absent	yes
uni.grad.law	ur	absent	yes
uni.grad.law	ja	absent	yes
uni.grad.law	da	absent	yes
uni.grad.law	nb	absent	yes
uni.grad.law	sv	absent	yes
uni.grad.law	fi	absent	yes
uni.grad.law	tr	absent	yes
uni.grad.law	hu	absent	yes
uni.grad.law	sa	absent	yes
uni.trans.law	en	absent	yes
uni.trans.law	ru	absent	yes
uni.trans.law	lv	absent	yes
uni.trans.law	th	absent	yes
uni.trans.law	gd	absent	yes
uni.trans.law	tt	absent	yes
uni.trans.law	uk	absent	yes
uni.trans.law	cs	absent	yes
uni.trans.law	zh	absent	yes
uni.trans.law	ko	absent	yes
uni.trans.law	ar	absent	yes
uni.trans.law	nl-be	absent	yes
uni.trans.law	es	absent	yes
uni.trans.law	nl	absent	yes
uni.trans.law	de	absent	yes
uni.trans.law	fr	absent	yes
uni.trans.law	he	absent	yes
uni.trans.law	hi	absent	yes
uni.trans.law	bn	absent	yes
uni.trans.law	fa	absent	yes
uni.trans.law	ur	absent	yes
uni.trans.law	ja	absent	yes
uni.trans.law	da	absent	yes
uni.trans.law	nb	absent	yes
uni.trans.law	sv	absent	yes
uni.trans.law	fi	absent	yes
uni.trans.law	tr	absent	yes
uni.trans.law	hu	absent	yes
uni.trans.law	sa	absent	yes
uni.gates.q	en	absent	yes
uni.gates.q	ru	absent	yes
uni.gates.q	lv	absent	yes
uni.gates.q	th	absent	yes
uni.gates.q	gd	absent	yes
uni.gates.q	tt	absent	yes
uni.gates.q	uk	absent	yes
uni.gates.q	cs	absent	yes
uni.gates.q	zh	absent	yes
uni.gates.q	ko	absent	yes
uni.gates.q	ar	absent	yes
uni.gates.q	nl-be	absent	yes
uni.gates.q	es	absent	yes
uni.gates.q	nl	absent	yes
uni.gates.q	de	absent	yes
uni.gates.q	fr	absent	yes
uni.gates.q	he	absent	yes
uni.gates.q	hi	absent	yes
uni.gates.q	bn	absent	yes
uni.gates.q	fa	absent	yes
uni.gates.q	ur	absent	yes
uni.gates.q	ja	absent	yes
uni.gates.q	da	absent	yes
uni.gates.q	nb	absent	yes
uni.gates.q	sv	absent	yes
uni.gates.q	fi	absent	yes
uni.gates.q	tr	absent	yes
uni.gates.q	hu	absent	yes
uni.gates.q	sa	absent	yes
uni.gates.state	en	absent	yes
uni.gates.state	ru	absent	yes
uni.gates.state	lv	absent	yes
uni.gates.state	th	absent	yes
uni.gates.state	gd	absent	yes
uni.gates.state	tt	absent	yes
uni.gates.state	uk	absent	yes
uni.gates.state	cs	absent	yes
uni.gates.state	zh	absent	yes
uni.gates.state	ko	absent	yes
uni.gates.state	ar	absent	yes
uni.gates.state	nl-be	absent	yes
uni.gates.state	es	absent	yes
uni.gates.state	nl	absent	yes
uni.gates.state	de	absent	yes
uni.gates.state	fr	absent	yes
uni.gates.state	he	absent	yes
uni.gates.state	hi	absent	yes
uni.gates.state	bn	absent	yes
uni.gates.state	fa	absent	yes
uni.gates.state	ur	absent	yes
uni.gates.state	ja	absent	yes
uni.gates.state	da	absent	yes
uni.gates.state	nb	absent	yes
uni.gates.state	sv	absent	yes
uni.gates.state	fi	absent	yes
uni.gates.state	tr	absent	yes
uni.gates.state	hu	absent	yes
uni.gates.state	sa	absent	yes
uni.gates.u1.q	en	absent	yes
uni.gates.u1.q	ru	absent	yes
uni.gates.u1.q	lv	absent	yes
uni.gates.u1.q	th	absent	yes
uni.gates.u1.q	gd	absent	yes
uni.gates.u1.q	tt	absent	yes
uni.gates.u1.q	uk	absent	yes
uni.gates.u1.q	cs	absent	yes
uni.gates.u1.q	zh	absent	yes
uni.gates.u1.q	ko	absent	yes
uni.gates.u1.q	ar	absent	yes
uni.gates.u1.q	nl-be	absent	yes
uni.gates.u1.q	es	absent	yes
uni.gates.u1.q	nl	absent	yes
uni.gates.u1.q	de	absent	yes
uni.gates.u1.q	fr	absent	yes
uni.gates.u1.q	he	absent	yes
uni.gates.u1.q	hi	absent	yes
uni.gates.u1.q	bn	absent	yes
uni.gates.u1.q	fa	absent	yes
uni.gates.u1.q	ur	absent	yes
uni.gates.u1.q	ja	absent	yes
